name,position,current_team,age,brand_power,proof,proximity,velocity,risk,total_gravity,pro_bowls,all_pros,championships,awards,twitter_followers,instagram_followers,tiktok_followers,brand_notes,proof_notes,proximity_notes,velocity_notes,risk_notes
Jaylen Waddle,WR,Miami Dolphins,26,75.0,70.0,65.0,80.0,72.0,72.0,0,0,0,"2021 NFL Rookie Record (104 receptions), PFWA All-Rookie Team",54500,447000,0,"Strong social media presence, popular young WR. Ecos can boost brand through strategic NFL partnerships, exclusive content creation, and leveraging speed reputation for endorsements.","Elite rookie production, consistent performance. Ecos can elevate proof by showcasing advanced metrics, targeting Pro Bowl campaigns, and highlighting clutch performance moments.","Dolphins playoff contention, team on rise. Ecos can enhance proximity through playoff performance analysis, championship window messaging, and team success correlation content.","Great speed and route running improvement. Ecos can amplify velocity by documenting training evolution, speed comparisons, and highlighting breakout potential for elite status.","Young player, durable so far. Ecos can minimize risk perception through injury prevention content, durability comparisons, and long-term career projection analysis."
Patrick Surtain II,CB,Denver Broncos,25,65.0,85.0,60.0,75.0,70.0,70.0,2,1,"0","2024 AP NFL Defensive Player of the Year, 2x Pro Bowl, All-Pro",89000,312000,0,"Rising star recognition, premium position. Ecos can boost brand by leveraging DPOY status for defensive endorsements, creating CB masterclass content, and building elite shutdown corner narrative.","Elite coverage skills, DPOY winner. Ecos can elevate proof through advanced coverage metrics, interception highlights, and positioning him as best young CB for sustained excellence recognition.","Broncos playoff success, strong defense. Ecos can enhance proximity by highlighting championship window, defensive leadership role, and positioning as cornerstone of title-contending defense.","Improving each season rapidly. Ecos can amplify velocity through year-over-year improvement analytics, DPOY momentum content, and showcasing trajectory toward all-time great status.","Young star, low injury risk. Ecos can minimize risk through durability narratives, smart play style analysis, and long-term career stability projections for endorsement partners."
Courtland Sutton,WR,Denver Broncos,29,70.0,65.0,75.0,75.0,69.0,69.0,1,0,0,"2019 Pro Bowl, SMU All-America",156000,285000,0,"Established veteran presence, good following. Ecos can boost brand through veteran leadership content, clutch performance highlights, and positioning as reliable WR1 for team success.","1000+ yard seasons, reliable target. Ecos can elevate proof by targeting second Pro Bowl, showcasing consistency metrics, and building case for underrated elite receiver recognition.","Broncos playoff team, strong offensive unit. Ecos can enhance proximity through championship window messaging, offensive leadership role, and correlation between his production and team wins.","Consistent production, clutch performer. Ecos can amplify velocity by highlighting playoff performance, clutch moment compilations, and demonstrating continued prime-level production.","Some injury history, age factor. Ecos can minimize risk through recovery success stories, veteran conditioning content, and emphasizing productive years remaining in prime."
Kareem Jackson,S,Buffalo Bills,37,60.0,70.0,65.0,45.0,40.0,58.0,1,0,0,"2019 Pro Bowl, veteran leadership",78000,145000,0,"Veteran respect, long career. Ecos can boost brand through leadership content, mentorship stories, and leveraging Bills' championship window for legacy narratives.","Proven safety play, playoff experience. Ecos can elevate proof by highlighting playoff moments, veteran impact metrics, and positioning as championship-caliber safety for contending teams.","Bills contender, championship window. Ecos can enhance proximity through championship pursuit content, veteran playoff experience, and Bills' Super Bowl window messaging.","Declining with age but still solid. Ecos can amplify velocity through veteran impact stories, playoff performance focus, and intelligence-over-athleticism content highlighting continued value.","High age risk, injury concerns. Ecos can minimize risk through smart play analysis, injury management success, and short-term value proposition for championship-focused content."
Nik Bonitto,LB,Denver Broncos,25,55.0,55.0,65.0,70.0,58.0,58.0,0,1,0,"2024 AP 2nd Team All-Pro, 13.5 sacks",45000,89000,0,"Emerging pass rusher recognition. Ecos can boost brand through breakout star content, pass rush technique analysis, and building narrative as next elite edge rusher.","Breakout 2024 season, sack production. Ecos can elevate proof by targeting Pro Bowl selection, showcasing pressure rate metrics, and building case for elite pass rusher status.","Broncos strong defense, playoff team. Ecos can enhance proximity through defensive unit success, playoff impact potential, and positioning as key piece of championship defense.","Rapid improvement trajectory. Ecos can amplify velocity through development story content, year-over-year improvement analytics, and projecting continued ascension to elite status.","Young player, some injury risk. Ecos can minimize risk through injury prevention content, conditioning highlights, and emphasizing youth advantage for long-term career stability."
Kam Curl,S,LA Rams,26,45.0,55.0,60.0,65.0,60.0,55.0,0,0,0,"Reliable starter, team captain potential",32000,67000,0,"Growing recognition as solid safety. Ecos can boost brand through leadership content, Rams defensive highlights, and building reliable veteran safety narrative for broader recognition.","Consistent starter production. Ecos can elevate proof by targeting Pro Bowl consideration, showcasing impact metrics, and building case for underrated safety recognition in competitive NFC.","Rams competitive team, NFC West. Ecos can enhance proximity through NFC West competition content, playoff potential messaging, and positioning as key defensive piece for Rams success.","Steady improvement each season. Ecos can amplify velocity through development analytics, year-over-year improvement tracking, and showcasing continued ascension in prime years.","Average injury risk for position. Ecos can minimize risk through durability content, smart play analysis, and emphasizing consistent availability as valuable safety trait."
Baron Browning,LB,Arizona Cardinals,26,50.0,55.0,45.0,60.0,50.0,52.0,0,0,0,"Former Ohio State star, versatile LB",41000,78000,0,"Former high draft pick recognition. Ecos can boost brand through Ohio State connection content, versatility highlights, and building comeback story narrative from draft pedigree.","Solid linebacker play, athletic ability. Ecos can elevate proof through athletic testing highlights, versatility demonstrations, and building case for expanded role and recognition.","Cardinals rebuilding, tough division. Ecos can enhance proximity through young core content, rebuild foundation messaging, and positioning as veteran leader for developing defense.","Shows flashes of elite play. Ecos can amplify velocity through highlight compilations, athletic ability showcases, and projecting breakout potential in expanded role.","Injury history concerns. Ecos can minimize risk through recovery success stories, injury management content, and emphasizing healthy seasons and availability improvements."
Derius Davis,WR,LA Chargers,24,40.0,45.0,55.0,65.0,55.0,50.0,0,0,0,"Return specialist, speed threat",28000,45000,12000,"Young speedster, return specialist role. Ecos can boost brand through speed highlights, return specialist content, and building next-generation return man narrative.","Limited receiving stats, special teams value. Ecos can elevate proof through return statistics, speed metrics, and building case for expanded offensive role potential.","Chargers playoff contender, loaded offense. Ecos can enhance proximity through special teams impact content, playoff potential messaging, and highlighting role in championship pursuit.","Great speed, developing route running. Ecos can amplify velocity through development story content, speed comparisons, and projecting offensive role expansion potential.","Young but small frame injury risk. Ecos can minimize risk through conditioning content, injury prevention focus, and emphasizing speed advantage over physical limitations."
Dee Winters,LB,San Francisco 49ers,24,45.0,50.0,55.0,60.0,45.0,48.0,0,0,0,"TCU standout, 6th round pick 2023",23000,38000,0,"Developing recognition, 49ers system. Ecos can boost brand through 49ers connection content, late-round success story, and building TCU-to-NFL development narrative.","Rookie development, limited snaps. Ecos can elevate proof through special teams highlights, developmental progress tracking, and building case for expanded defensive role.","49ers perennial contender, great defense. Ecos can enhance proximity through championship culture content, defensive excellence messaging, and positioning within elite defensive system.","Learning from elite LB corps. Ecos can amplify velocity through mentorship content, development under elite coaching, and projecting growth trajectory in proven system.","Young rookie, learning curve. Ecos can minimize risk through development success stories, rookie progression content, and emphasizing 49ers' track record with late-round picks."
Jamari Thrash,WR,Cleveland Browns,24,35.0,40.0,45.0,60.0,55.0,44.0,0,0,0,"Georgia State transfer, 5th round 2024",19000,31000,0,"New rookie, limited recognition. Ecos can boost brand through underdog story content, Georgia State to NFL journey, and building developmental prospect narrative.","Limited NFL production, rookie year. Ecos can elevate proof through college highlight compilation, draft capital validation, and building case for rookie development potential.","Browns struggling franchise. Ecos can enhance proximity through young core rebuilding content, opportunity for impact messaging, and positioning within developing offense.","High draft capital, developmental upside. Ecos can amplify velocity through rookie development tracking, college-to-pro transition content, and projecting offensive role expansion.","Rookie adjustment period. Ecos can minimize risk through rookie development success stories, transition support content, and emphasizing normal learning curve expectations."
